customer_id,campaign_id,coupon_id,p_with_coupon,p_without_coupon,uplift,actual_redemption,treatment
1574,13,468,0.994839976665716,0.000372193582395866,0.9944677830833202,1,1
1052,13,21,0.9915793457872063,1.4276813514161019e-06,0.9915779181058549,1,1
235,9,468,0.9934364511253633,0.0021219952523659886,0.9913144558729973,0,0
626,13,786,0.9912314331535775,0.0008008176315864077,0.9904306155219911,0,1
162,13,21,0.9891760692013546,8.485547738108468e-05,0.9890912137239735,1,1
1250,13,754,0.9917489153957546,0.0027356087478120975,0.9890133066479425,1,1
317,8,907,0.9873876585483224,2.6638458967885547e-08,0.9873876319098635,0,1
1136,8,9,0.9844827214525685,0.0002606436899004834,0.984222077762668,1,1
959,13,468,0.9759914818953963,0.00039794311992848066,0.9755935387754678,1,1
1549,8,1059,0.9784354928874657,0.006121305129599493,0.9723141877578662,0,1
594,8,846,0.9715919162601611,1.0281095395146036e-06,0.9715908881506216,0,1
1463,9,705,0.9668082831748213,9.334891436434573e-06,0.9667989482833849,0,0
706,8,9,0.9655658412412916,0.001536605103823133,0.9640292361374685,1,1
401,28,529,0.9638937839408338,3.810095753934263e-05,0.9638556829832945,0,0
153,30,909,0.9628410015035356,7.85593602465186e-08,0.9628409229441753,0,1
891,8,754,0.9601945825538886,0.0005287617298058539,0.9596658208240827,1,1
594,8,727,0.9587261988945402,8.90914269349439e-06,0.9587172897518468,0,1
378,5,934,0.9531478128771999,0.0001571106454420216,0.9529907022317579,0,0
1463,27,718,0.9443040573064926,2.331625615847499e-05,0.9442807410503341,0,0
565,13,625,0.9428158438871539,0.001128421732526341,0.9416874221546275,0,1
378,10,934,0.9424275457012731,0.0007806851805828046,0.9416468605206902,0,0
1441,30,1036,0.9446053074195004,0.004464851241812763,0.9401404561776877,0,1
228,13,796,0.939748473377583,4.0895503581153096e-07,0.9397480644225472,0,1
1387,28,529,0.9385885848600386,0.00018893439259480658,0.9383996504674438,0,0
556,8,672,0.9394432398163314,0.0013615667511297455,0.9380816730652016,0,1
1558,13,960,0.9393376884930961,0.0033068780591053617,0.9360308104339907,1,1
1340,13,408,0.934990266005015,2.356076895237301e-06,0.9349879099281198,1,1
1521,13,672,0.9347137961849427,2.8063987345738055e-05,0.9346857321975969,0,1
706,13,942,0.933233459660002,0.0005603871497988904,0.9326730725102031,1,1
235,9,705,0.9378619882283621,0.006903439733025306,0.9309585484953368,1,0
967,8,911,0.9290518304953633,1.840020089857025e-06,0.9290499904752735,0,1
63,1,562,0.9291840679307124,0.000554393052927503,0.9286296748777849,0,0
933,13,726,0.9276360345097562,5.317749618278301e-06,0.9276307167601379,0,1
510,26,349,0.9276956300931434,0.00021368963944647993,0.9274819404536969,0,1
1547,8,911,0.9273339631238001,1.7283494821715894e-06,0.9273322347743179,0,1
1257,12,572,0.92722979631214,1.8471822064773828e-05,0.9272113244900752,0,0
63,13,22,0.9266957451823792,0.0005743409056788494,0.9261214042767003,0,1
416,8,9,0.9287741899231928,0.0026750469806701045,0.9260991429425227,0,1
1387,1,562,0.9231696072477811,1.933673421099102e-05,0.9231502705135701,0,0
80,5,455,0.9198238574692509,8.904633724970868e-06,0.919814952835526,0,0
712,10,457,0.918978798595022,0.00035104633333838325,0.9186277522616836,0,0
1142,5,934,0.9184867341086553,6.119273689818289e-05,0.9184255413717571,0,0
1558,8,705,0.9174648755983966,2.6785883807242016e-06,0.9174621970100159,0,1
551,13,672,0.9385088541564054,0.024003202197660452,0.9145056519587449,0,1
1386,9,788,0.9118448048175671,5.660989910388151e-05,0.9117881949184633,0,0
844,10,457,0.9116168468873137,0.001724579388913561,0.9098922674984001,0,0
1574,11,669,0.9096451848729866,0.0014388924754195533,0.9082062923975671,0,0
737,12,572,0.9218557722068446,0.01371031814158644,0.9081454540652582,0,0
1574,8,983,0.9056726279014327,0.00031785459550431725,0.9053547733059284,1,1
766,13,960,0.9396971624059444,0.03472169410147233,0.9049754683044721,1,1
