customer_id,campaign_id,coupon_id,baseline_prob
1257,8,8,0.9738638120329938
1052,8,9,0.9602632707709251
467,13,960,0.9474239094545636
1549,8,6,0.9466426684003713
626,5,689,0.9463494890638856
1574,13,468,0.9421760210289353
153,2,347,0.9419607607542203
1574,13,960,0.941201035808157
113,29,643,0.9406317553555766
1026,30,310,0.9273019931049216
706,8,9,0.9250196680110858
835,13,919,0.9204589979172911
1396,26,610,0.9198918099629542
82,8,754,0.9185713809320265
235,9,705,0.9172096099677728
1558,13,960,0.9156743632486312
1312,12,705,0.9154122960331789
1302,5,455,0.9140088117248566
162,13,21,0.9102544227310776
1136,8,9,0.9093823456257988
1319,13,754,0.9074939113607322
839,11,913,0.9029171461829075
1340,13,408,0.9028772199376257
1457,13,21,0.8948745847104587
823,2,347,0.8886505529449711
1210,13,705,0.8742540106191969
782,12,819,0.8734682316805634
1344,13,22,0.8692173561671102
8,11,669,0.868899894259243
1336,8,8,0.8665147055824819
877,13,754,0.8664005824950857
235,13,754,0.8622208060185803
766,13,942,0.8613579044034859
753,8,981,0.8592291788671628
1340,13,850,0.8585262182478592
1198,29,982,0.8578184184479992
632,26,358,0.8554525412735536
537,13,780,0.8456279530577511
8,11,571,0.8423467949867992
1344,13,992,0.8423277546301566
1070,13,754,0.839669897716127
556,9,607,0.8392552247685825
766,13,960,0.8354634765496934
367,13,673,0.8310760856292948
1025,8,9,0.8250442145742869
706,13,942,0.8238603414892685
627,13,586,0.8217175271666899
8,13,586,0.8211337736858626
864,13,530,0.812151319253286
1210,26,1006,0.8118963924861696
